,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4
0.0,-0.06416336447000504,-3.315688133239746,-1.5736640691757202,-4.14493989944458,-3.486175775527954
1.0,-1.7232378721237183,-4.121609210968018,-3.3649213314056396,-4.648517608642578,-4.21052360534668
2.0,-3.373953342437744,-4.3704609870910645,-3.8453848361968994,-4.821817874908447,-4.333051681518555
3.0,-3.351588249206543,-4.166709899902344,-4.096802711486816,-4.820842742919922,-4.541721343994141
4.0,-3.5960285663604736,-4.1646528244018555,-3.775904893875122,-5.07568359375,-4.352169036865234
5.0,-3.2295174598693848,-3.83903169631958,-3.8458991050720215,-4.6753973960876465,-4.390279293060303
6.0,-1.9523169994354248,-3.6479480266571045,-3.5016980171203613,-4.775071620941162,-3.6837453842163086
7.0,-0.5477559566497803,-1.8065412044525146,-1.9861003160476685,-4.106729507446289,-2.702026844024658
8.0,-1.0360983610153198,-1.1477736234664917,-2.452381134033203,-3.72463321685791,-2.9908576011657715
9.0,-0.9674444794654846,-0.17692971229553223,-1.7783641815185547,-3.4281625747680664,-3.1295158863067627
10.0,-1.5341178178787231,0.518738865852356,-2.022334098815918,-3.7572829723358154,-3.1407570838928223
11.0,-0.656693160533905,0.701050341129303,-1.8987809419631958,-4.212940216064453,-2.5785844326019287
12.0,-0.5850978493690491,0.5564806461334229,-1.680193543434143,-4.0312323570251465,-2.411008596420288
13.0,-0.145586758852005,1.287324070930481,-1.3682941198349,-3.633622884750366,-3.102874994277954
14.0,-0.5346163511276245,1.1836631298065186,-1.6078484058380127,-3.6124517917633057,-2.979682683944702
15.0,0.23942463099956512,1.1505117416381836,-0.39191359281539917,-4.277393817901611,-2.8611724376678467
16.0,-0.33903419971466064,0.9375759959220886,-0.9325383901596069,-4.035145282745361,-2.652623176574707
17.0,0.3418762981891632,1.115804672241211,-1.2707656621932983,-4.044937610626221,-2.1503665447235107
18.0,0.6069414615631104,0.6318418979644775,-1.0540344715118408,-3.8319435119628906,-1.847852349281311
19.0,0.6996464133262634,0.03868264704942703,-0.5525901913642883,-3.47416090965271,-1.3492878675460815
20.0,0.8928488492965698,-0.3174842894077301,0.7213747501373291,-3.1347405910491943,-0.912834644317627
21.0,1.4702293872833252,-0.9245631098747253,0.6159529685974121,-2.5727009773254395,-0.5821980237960815
22.0,2.124833822250366,-1.0135643482208252,1.277961254119873,-2.3924343585968018,-0.4992818236351013
23.0,1.5411059856414795,-1.3365082740783691,-0.26917436718940735,-4.183513641357422,-2.163612127304077
24.0,-0.6540826559066772,-3.8204987049102783,-2.3728091716766357,-4.301661491394043,-3.565417766571045
25.0,-2.0499277114868164,-4.3540358543396,-3.1950228214263916,-4.9534382820129395,-4.059288024902344
26.0,-2.6094064712524414,-4.395447254180908,-3.4222447872161865,-5.082059383392334,-4.1782379150390625
27.0,-3.501417875289917,-4.239009857177734,-4.120691299438477,-4.786128997802734,-4.248351097106934
28.0,-3.204068899154663,-4.00969123840332,-3.5689988136291504,-5.121394157409668,-4.423320293426514
29.0,-2.6465413570404053,-4.255618095397949,-3.6004767417907715,-5.153177261352539,-4.3493499755859375
30.0,-1.6495702266693115,-3.2726433277130127,-2.9461569786071777,-4.115184307098389,-3.479302406311035
31.0,-0.2387000471353531,-1.4798237085342407,-2.605742931365967,-4.068181991577148,-3.1954238414764404
32.0,-0.3450860381126404,-0.157145157456398,-2.3040196895599365,-3.8486857414245605,-3.2817766666412354
33.0,-0.661526620388031,-0.10761455446481705,-2.3781063556671143,-4.174388408660889,-3.0313427448272705
34.0,-0.496279776096344,-0.14218947291374207,-2.1787374019622803,-3.8589837551116943,-3.468862771987915
35.0,-0.03410787880420685,0.4318711459636688,-2.3161606788635254,-4.140794277191162,-3.222639322280884
36.0,-1.1306127309799194,0.757856011390686,-2.3379924297332764,-4.556900978088379,-3.656702756881714
37.0,-0.7647095322608948,-0.07263525575399399,-1.7874819040298462,-4.302212715148926,-2.2464988231658936
38.0,-0.19882264733314514,-0.44284796714782715,-2.001279354095459,-4.481748580932617,-2.4844088554382324
39.0,-0.3967238664627075,0.23505984246730804,-1.950960397720337,-4.136528968811035,-2.9699015617370605
40.0,-0.40782660245895386,-0.2295132875442505,-1.7332708835601807,-4.412489414215088,-3.097548484802246
41.0,-0.0013750772923231125,-0.748523473739624,-1.3092437982559204,-4.296581745147705,-2.6654653549194336
42.0,0.06789714843034744,-0.9547345638275146,-2.32999324798584,-3.942185163497925,-2.9880669116973877
43.0,0.27062705159187317,-0.5965877175331116,-1.5557243824005127,-3.747558116912842,-1.9869798421859741
44.0,0.6273403763771057,-1.0041835308074951,-0.16311213374137878,-3.5158355236053467,-0.9456441402435303
45.0,0.542138397693634,-0.5885271430015564,0.32804691791534424,-2.9724068641662598,-0.5040760636329651
46.0,0.8481459617614746,-0.94198077917099,0.5260483026504517,-2.8447890281677246,-0.3173635005950928
47.0,0.8734975457191467,-1.6596184968948364,-0.32100406289100647,-3.9138355255126953,-1.4464951753616333
48.0,-0.08683203160762787,-2.3871548175811768,-2.2734856605529785,-5.069740295410156,-3.012151002883911
49.0,-2.225874900817871,-3.598750352859497,-3.993218183517456,-4.857888698577881,-4.314012050628662
50.0,-2.7248096466064453,-4.498691558837891,-3.9859464168548584,-4.901965618133545,-4.2660932540893555
51.0,-3.2132458686828613,-4.379662990570068,-4.178808689117432,-4.70026159286499,-4.798034191131592
52.0,-3.3501482009887695,-4.340735912322998,-4.178966045379639,-4.932429313659668,-4.549440860748291
53.0,-3.463480234146118,-4.448821544647217,-3.7420663833618164,-4.761508941650391,-4.582150459289551
54.0,-2.2742297649383545,-3.68264102935791,-2.8410496711730957,-4.607282638549805,-3.6338553428649902
55.0,-0.5341959595680237,-2.5641236305236816,-2.141838788986206,-4.222929954528809,-3.385965585708618
56.0,-1.092808485031128,-0.843214213848114,-2.40177059173584,-4.02845573425293,-3.5258002281188965
57.0,-1.2691787481307983,-0.7369157671928406,-2.279822826385498,-4.212856769561768,-3.559457302093506
58.0,-0.1471097469329834,-1.4630718231201172,-2.397507905960083,-3.936558246612549,-2.994492769241333
59.0,-0.44342756271362305,0.006876962259411812,-1.9021968841552734,-3.94818115234375,-2.718740701675415
60.0,-0.218054860830307,0.01763089932501316,-2.2129101753234863,-4.419275283813477,-2.9507720470428467
61.0,-0.5105009078979492,-0.4543212056159973,-1.896286964416504,-4.337841510772705,-2.942817211151123
62.0,-0.14941909909248352,0.09357958287000656,-1.4301419258117676,-3.8091886043548584,-3.0697505474090576
63.0,0.3308987617492676,0.07029364258050919,-1.620558738708496,-4.044620513916016,-3.227607011795044
64.0,-0.7899764180183411,-0.2333289235830307,-1.9372724294662476,-4.020780086517334,-2.8736252784729004
65.0,0.6036115884780884,0.24547095596790314,-2.034933090209961,-4.0004096031188965,-2.9893276691436768
66.0,0.13420547544956207,0.6804179549217224,-1.977950930595398,-4.336145401000977,-2.9917337894439697
67.0,0.9893310070037842,-0.4035295248031616,-1.3803857564926147,-4.1285223960876465,-2.154207706451416
68.0,0.8420043587684631,-0.8127719163894653,-0.313458651304245,-2.8702187538146973,-0.6635842323303223
69.0,0.8434752225875854,-0.5825375914573669,0.6524210572242737,-2.5317821502685547,0.034166742116212845
70.0,1.5197356939315796,-1.1165193319320679,0.6000990271568298,-2.7156121730804443,-0.15429066121578217
71.0,1.211413860321045,-1.886732816696167,-0.47917935252189636,-3.883390188217163,-2.5419514179229736
72.0,-0.6111759543418884,-3.236546516418457,-1.7204554080963135,-4.505534648895264,-3.804939031600952
73.0,-1.6374326944351196,-3.665085554122925,-3.009632110595703,-4.5560808181762695,-4.381866455078125
74.0,-2.7256486415863037,-4.040130615234375,-2.9230453968048096,-4.704524993896484,-4.2554779052734375
75.0,-2.8512818813323975,-4.706811428070068,-3.57918381690979,-4.814479351043701,-4.887765407562256
76.0,-3.238280773162842,-4.386209964752197,-3.3665027618408203,-4.969253063201904,-4.371087551116943
77.0,-3.111729383468628,-4.5980305671691895,-3.523169994354248,-4.589186191558838,-4.248752593994141
78.0,-1.7901242971420288,-4.190828323364258,-3.4424166679382324,-4.365788459777832,-3.58323335647583
79.0,-0.5122084021568298,-3.0924150943756104,-3.2153091430664062,-4.516971111297607,-3.2739779949188232
80.0,-1.3047724962234497,-1.8519861698150635,-3.059368133544922,-3.9528396129608154,-2.9473371505737305
81.0,-0.8719442486763,-1.087641954421997,-2.2471680641174316,-4.0107622146606445,-3.0549135208129883
82.0,-0.16417630016803741,0.378328800201416,-1.8136519193649292,-4.557889461517334,-2.8815622329711914
83.0,0.19221018254756927,0.17347054183483124,-2.3032615184783936,-4.667737007141113,-2.550203561782837
84.0,-0.31254279613494873,-0.17175808548927307,-1.7426769733428955,-3.982252836227417,-2.264329433441162
