"rmse" "mae"
"111002" 1.21492945940171 0.976368850125229
"111009" 1.01493845915946 0.759910457871925
"111011" 1.39002757002676 1.14212655666672
"111019" 1.28252197562027 1.01515875759595
"111025" 1.90839537420363 1.69837577692694
"111027" 1.97634117016087 1.70471707326047
"111032" 1.53782013796443 1.29212767187382
"111033" 1.42394607669928 0.987593960110314
"111035" 1.49693004717223 1.21715440222157
"111037" 1.78607768335764 1.50441024294696
"111039" 1.75611488180466 1.49069483520069
"111040" 1.41133770841338 1.13246609943829
"111042" 1.69076911361109 1.38935896729992
"111046" 1.58869265181379 1.30600908160317
"111051" 1.53070955416371 1.21345793456796
"111052" 1.70741172084725 1.4564945679553
"111054" 1.94186715385493 1.56955171650816
"111055" 1.34769848983771 1.00281378061385
"111060" 2.02519560839505 1.83155183808902
"111061" 1.68170688691443 1.44213593679698
"111066" 1.70921854880728 1.45580473784304
"111069" 1.49541077004312 1.19717006045039
"111070" 2.02242199967416 1.77733280062705
"111071" 1.18161628866385 0.923427109442795
"111073" 1.80216790926226 1.58500457634191
"111076" 1.66623405612295 1.3224235115441
"111079" 1.71312540450423 1.42164626470986
"111080" 1.60061224262104 1.36387771555344
"111081" 1.53542818757788 1.15602103819896
"111087" 2.02315760660674 1.79823828742754
"111094" 1.42074014684305 1.11056249426131
"111097" 1.36437721803344 0.988381868956564
"111104" 1.67339019576092 1.41456753730226
"111105" 1.57963567916477 1.27853698286472
"111109" 1.28158668359872 0.988144271763623
"111117" 1.3154258633628 1.04196241659736
"111118" 1.89603987591787 1.64799507239111
"111125" 1.52286248327737 1.23017799729655
"111130" 1.80958240320902 1.51267195811467
"111131" 1.81007071963931 1.55797750145786
"111133" 1.3010371633381 0.974849050943856
"111142" 1.75666796321129 1.50626549833004
"111146" 0.836624824716303 0.640989488633408
"111148" 1.60152823007313 1.32169256566339
"111150" 1.69997074184102 1.4248952034587
"111154" 1.9568232812019 1.68653142563391
"111159" 1.56144534029873 1.31505134416033
"111160" 1.78130876637953 1.50461731054362
"111161" 1.5047446337003 1.18559635379701
"111164" 1.84880343051568 1.62201625129339
"111171" 1.42615425759374 1.17400648819103
"111174" 1.54323786397438 1.24543742197612
"111175" 1.6621231414804 1.39809837907873
"111176" 1.48514641661321 1.23994603038216
"111179" 1.2294719295685 0.974708698095091
"111180" 1.96599660422507 1.79172894529621
"111182" 1.42564612489489 1.15010848062327
"111184" 1.36566388115233 1.11932364416495
"111187" 1.74934467458553 1.51098432614877
"111190" 1.8313906696382 1.58074938779122
"111192" 1.55258524046414 1.24516156837416
"111195" 2.08158028927804 1.86919726417588
"111197" 1.65378403691836 1.31152588943544
"111198" 1.73417946114574 1.44429415251611
"111199" 1.71981482719643 1.48822370062698
"111205" 1.47495817576147 1.17580037110542
"111213" 2.08580735470261 1.87881153050996
"111214" 1.84256116899437 1.60361276603323
"111219" 1.20717121396892 0.910672624850812
"111226" 1.27010321728094 1.08722919005721
"111227" 1.74194708487709 1.45746487189769
"111228" 1.47296904708657 1.12955416473765
"111242" 1.39161107676894 1.08725837015313
"111243" 1.48466115657163 1.23533660093733
"111258" 1.64116553848333 1.30897395969485
"111262" 1.56955594195804 1.36845703748746
"111275" 1.53006109652898 1.2830577709104
