,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4
0,111001,111020,111002,111009,111014
1,111003,111022,111016,111011,111110
2,111004,111023,111024,111019,111158
3,111005,111040,111025,111042,111170
4,111006,111060,111026,111043,111173
5,111007,111067,111027,111050,111191
6,111008,111073,111031,111051,111202
7,111010,111083,111032,111052,111223
8,111012,111123,111034,111053,111373
9,111013,111130,111035,111054,111431
10,111015,111149,111037,111056,111569
11,111017,111156,111039,111058,111589
12,111018,111169,111044,111070,111635
13,111021,111175,111045,111081,111738
14,111028,111183,111046,111105,111774
15,111029,111185,111048,111111,111873
16,111030,111189,111061,111113,111887
17,111033,111190,111066,111114,111892
18,111036,111194,111068,111132,111895
19,111038,111197,111069,111138,111896
20,111041,111198,111071,111139,112009
21,111047,111201,111072,111144,112030
22,111049,111203,111074,111154,112031
23,111055,111204,111076,111187,112038
24,111057,111206,111078,111196,112044
25,111059,111207,111079,111205,112054
26,111062,111213,111080,111215,112055
27,111063,111218,111085,111268,112065
28,111064,111220,111086,111272,112067
29,111065,111224,111087,111273,112100
30,111075,111231,111094,111277,112114
31,111077,111279,111104,111278,112121
32,111082,111404,111112,111393,112153
33,111084,111412,111117,111396,112154
34,111088,111416,111118,111401,112162
35,111089,111417,111121,111402,112176
36,111090,111426,111124,111403,112190
37,111091,111428,111127,111405,112192
38,111092,111430,111133,111408,112197
39,111093,111438,111137,111411,112198
40,111095,111439,111141,111414,112203
41,111096,111440,111142,111420,112207
42,111097,111550,111147,111436,112210
43,111098,111555,111148,111557,112217
44,111099,111560,111150,111598,112219
45,111100,111567,111151,111603,112221
46,111101,111585,111152,111618,112223
47,111102,111587,111153,111623,112227
48,111103,111610,111157,111631,112231
49,111106,111667,111159,111632,112232
50,111107,111670,111160,111637,112238
51,111109,111679,111161,111653,112240
52,111115,111680,111163,111661,112247
53,111119,111689,111166,111721,112254
54,111120,111696,111167,111732,112255
55,111122,111699,111168,111733,112264
56,111125,111702,111171,111767,112265
57,111128,111710,111174,111773,112266
58,111129,111744,111176,111886,115001
59,111131,111749,111177,112033,117130
60,111134,111750,111178,112048,0
61,111135,111751,111179,112071,0
62,111136,111823,111182,112072,0
63,111140,111832,111184,112085,0
64,111143,111835,111195,112089,0
65,111145,111839,111199,112091,0
66,111146,111853,111200,112093,0
67,111155,111855,111210,112095,0
68,111162,111858,111214,112099,0
69,111164,111866,111222,112102,0
70,111165,111867,111227,112108,0
71,111172,111874,111242,112119,0
72,111180,111875,111243,112138,0
73,111181,111876,111246,112139,0
74,111186,111881,111258,112141,0
75,111188,111885,111269,112202,0
76,111192,112063,111274,112214,0
77,111193,112066,111275,112220,0
78,111211,112070,111330,112245,0
79,111212,112094,111406,112248,0
80,111216,112096,111409,112263,0
81,111217,112097,111419,0,0
82,111219,112103,111423,0,0
83,111221,112116,111425,0,0
84,111225,112118,111427,0,0
85,111226,112129,111429,0,0
86,111228,112151,111433,0,0
87,111229,112152,111547,0,0
88,111230,112157,111553,0,0
89,111244,112158,111561,0,0
90,111245,112161,111562,0,0
91,111262,112171,111563,0,0
92,111265,112174,111564,0,0
93,111267,112175,111570,0,0
94,111270,112179,111571,0,0
95,111271,112180,111580,0,0
96,111276,112181,111584,0,0
97,111285,112189,111586,0,0
98,111300,112205,111590,0,0
99,111301,112206,111593,0,0
100,111302,112211,111599,0,0
101,111305,112212,111600,0,0
102,111387,112215,111613,0,0
103,111388,112216,111624,0,0
104,111389,112218,111644,0,0
105,111390,112233,111647,0,0
106,111392,112239,111648,0,0
107,111394,112242,111649,0,0
108,111395,112249,111654,0,0
109,111397,112253,111658,0,0
110,111398,112256,111662,0,0
111,111399,112259,111663,0,0
112,111400,0,111664,0,0
113,111407,0,111666,0,0
114,111410,0,111668,0,0
115,111413,0,111669,0,0
116,111415,0,111676,0,0
117,111418,0,111678,0,0
118,111421,0,111682,0,0
119,111422,0,111683,0,0
120,111424,0,111684,0,0
121,111432,0,111685,0,0
122,111434,0,111697,0,0
123,111435,0,111698,0,0
124,111437,0,111700,0,0
125,111546,0,111701,0,0
126,111549,0,111708,0,0
127,111551,0,111709,0,0
128,111558,0,111722,0,0
129,111559,0,111729,0,0
130,111565,0,111742,0,0
131,111574,0,111743,0,0
132,111576,0,111747,0,0
133,111577,0,111762,0,0
134,111578,0,111763,0,0
135,111579,0,111765,0,0
136,111582,0,111772,0,0
137,111583,0,111818,0,0
138,111604,0,111822,0,0
139,111609,0,111837,0,0
140,111617,0,111838,0,0
141,111626,0,111841,0,0
142,111627,0,111844,0,0
143,111628,0,111846,0,0
144,111629,0,111849,0,0
145,111633,0,111852,0,0
146,111634,0,111854,0,0
147,111638,0,111860,0,0
148,111639,0,111864,0,0
149,111642,0,111865,0,0
150,111643,0,111870,0,0
151,111645,0,111877,0,0
152,111646,0,111890,0,0
153,111650,0,111999,0,0
154,111651,0,112057,0,0
155,111652,0,112075,0,0
156,111655,0,112076,0,0
157,111656,0,112083,0,0
158,111657,0,112088,0,0
159,111673,0,112092,0,0
160,111674,0,112098,0,0
161,111681,0,112101,0,0
162,111686,0,112110,0,0
163,111687,0,112111,0,0
164,111690,0,112115,0,0
165,111719,0,112120,0,0
166,111720,0,112122,0,0
167,111726,0,112123,0,0
168,111735,0,112124,0,0
169,111736,0,112126,0,0
170,111745,0,112133,0,0
171,111746,0,112136,0,0
172,111752,0,112137,0,0
173,111758,0,112140,0,0
174,111759,0,112144,0,0
175,111806,0,112145,0,0
176,111809,0,112150,0,0
177,111819,0,112160,0,0
178,111821,0,112163,0,0
179,111833,0,112164,0,0
180,111836,0,112165,0,0
181,111842,0,112170,0,0
182,111843,0,112178,0,0
183,111845,0,112183,0,0
184,111848,0,112191,0,0
185,111851,0,112204,0,0
186,111856,0,112213,0,0
187,111859,0,112224,0,0
188,111861,0,112226,0,0
189,111862,0,112228,0,0
190,111882,0,112243,0,0
191,111883,0,112251,0,0
192,111884,0,117001,0,0
193,112037,0,117109,0,0
194,112059,0,117113,0,0
195,112062,0,117116,0,0
196,112069,0,117117,0,0
197,112073,0,117118,0,0
198,112074,0,113003,0,0
199,112077,0,0,0,0
200,112078,0,0,0,0
201,112079,0,0,0,0
202,112080,0,0,0,0
203,112081,0,0,0,0
204,112082,0,0,0,0
205,112084,0,0,0,0
206,112086,0,0,0,0
207,112087,0,0,0,0
208,112090,0,0,0,0
209,112104,0,0,0,0
210,112105,0,0,0,0
211,112106,0,0,0,0
212,112109,0,0,0,0
213,112112,0,0,0,0
214,112113,0,0,0,0
215,112117,0,0,0,0
216,112127,0,0,0,0
217,112128,0,0,0,0
218,112130,0,0,0,0
219,112131,0,0,0,0
220,112132,0,0,0,0
221,112134,0,0,0,0
222,112135,0,0,0,0
223,112142,0,0,0,0
224,112143,0,0,0,0
225,112146,0,0,0,0
226,112147,0,0,0,0
227,112148,0,0,0,0
228,112149,0,0,0,0
229,112155,0,0,0,0
230,112156,0,0,0,0
231,112159,0,0,0,0
232,112166,0,0,0,0
233,112167,0,0,0,0
234,112168,0,0,0,0
235,112169,0,0,0,0
236,112173,0,0,0,0
237,112182,0,0,0,0
238,112184,0,0,0,0
239,112185,0,0,0,0
240,112186,0,0,0,0
241,112187,0,0,0,0
242,112188,0,0,0,0
243,112193,0,0,0,0
244,112194,0,0,0,0
245,112195,0,0,0,0
246,112199,0,0,0,0
247,112200,0,0,0,0
248,112201,0,0,0,0
249,112208,0,0,0,0
250,112209,0,0,0,0
251,112222,0,0,0,0
252,112225,0,0,0,0
253,112229,0,0,0,0
254,112230,0,0,0,0
255,112234,0,0,0,0
256,112235,0,0,0,0
257,112236,0,0,0,0
258,112237,0,0,0,0
259,112244,0,0,0,0
260,112246,0,0,0,0
261,112250,0,0,0,0
262,112252,0,0,0,0
263,112257,0,0,0,0
264,112258,0,0,0,0
265,112261,0,0,0,0
266,112262,0,0,0,0
267,117101,0,0,0,0
268,117102,0,0,0,0
269,117103,0,0,0,0
270,117104,0,0,0,0
271,117105,0,0,0,0
272,117106,0,0,0,0
273,117107,0,0,0,0
274,117108,0,0,0,0
275,117111,0,0,0,0
276,117112,0,0,0,0
