,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4
0,0.023621874,-3.237678051,-1.965623021,-3.773658037,-4.275375843
1,-2.564706087,-3.815563202,-3.249765396,-3.823571444,-4.437293053
2,-3.743309021,-4.198548317,-4.115264893,-4.394546509,-4.883181572
3,-3.794073105,-4.295223713,-3.999716759,-4.553960323,-4.875007153
4,-3.42017746,-4.492198944,-4.315639496,-4.481060505,-4.760643482
5,-3.17595911,-4.470481873,-4.257615566,-4.274955273,-4.983984947
6,-1.908632159,-3.319824934,-3.474465609,-3.923828125,-4.757736683
7,-0.428104818,-2.053833008,-2.33618784,-2.206287622,-4.512640476
8,-0.535467207,-2.558531523,-2.499805212,-1.761238217,-4.32256031
9,-1.15957427,-2.248194695,-2.324234962,-0.177913085,-4.028923988
10,-0.729819775,-2.476922989,-2.455171585,0.562126577,-4.238508701
11,-0.124515831,-2.982906818,-2.633768559,0.742269218,-4.39373064
12,0.111219741,-2.40251255,-1.97073102,0.53434211,-4.22453022
13,0.057975557,-2.889366865,-2.514060974,0.070971198,-4.200828552
14,0.125397846,-2.543861389,-2.255167007,-0.091737188,-4.36207962
15,0.420408666,-2.432250261,-1.710877776,0.449034065,-4.224770069
16,0.25095135,-2.542935371,-1.986051679,-0.11399015,-3.888266802
17,1.578769565,-2.337294817,-1.487332821,-0.190830305,-3.85797286
18,0.498627394,-1.672390103,-1.212503672,0.055091616,-3.721076965
19,0.974128723,-1.667775989,-1.027516961,0.033044707,-3.913626432
20,1.106303573,-1.463321567,0.154377386,-1.082243204,-3.595403433
21,1.133262396,-0.842912793,0.554393589,-1.272276759,-3.170639277
22,1.767147779,-0.427335382,0.878517926,-1.583701253,-3.105429888
23,1.949654222,-1.640755653,-0.79302752,-1.730335712,-3.796557426
24,-0.139714882,-2.633995771,-2.419804335,-3.168985605,-4.409751415
25,-2.43682313,-3.455915213,-3.240227699,-4.280667305,-4.816239357
26,-3.374081373,-3.817893028,-3.940057039,-4.674885273,-4.876520157
27,-4.068014622,-4.043963432,-4.441398144,-4.747506618,-4.838623524
28,-3.67980361,-4.236072063,-4.374398708,-4.760728359,-4.800240993
29,-3.092401028,-3.551127195,-3.572196007,-4.339869022,-4.908976555
30,-1.355959296,-3.156509638,-2.788764715,-3.636771917,-4.381696701
31,0.1405247,-2.520982981,-1.562612891,-1.751510859,-4.355383873
32,-0.238168061,-2.172134161,-2.137479067,-0.22584638,-4.420596123
33,-0.586945951,-2.211905479,-2.815929413,-0.520785511,-4.388336182
34,-0.312612772,-3.432433844,-2.485657692,-0.16471076,-3.53583765
35,-0.314529806,-2.893590927,-2.560474157,0.36799702,-4.005236149
36,-0.897527754,-2.478538752,-2.567829847,-0.329463512,-4.112065792
37,-0.892335415,-2.467405558,-2.919796467,-0.858240426,-3.174702883
38,0.016734563,-2.567092657,-2.393313885,-1.042229056,-4.170910835
39,0.428388298,-3.042946577,-2.043432951,-0.595093608,-4.342060089
40,0.105952896,-3.497349501,-1.386252522,-0.602458537,-4.621479511
41,0.549916148,-2.873178244,-1.376590967,-1.190433502,-4.187277317
42,0.718034863,-2.664517164,-1.835313797,-0.985603034,-4.240279675
43,0.260737479,-2.585228205,-1.944679379,-1.094807029,-4.345656872
44,0.930900514,-1.154549599,-0.290245622,-2.239348888,-3.887760639
45,1.18468821,-0.555183828,0.62932688,-2.184784412,-3.513029575
46,1.638256431,-0.604695976,0.558442712,-2.298475027,-3.540277004
47,1.448356867,-1.39105165,0.083656698,-2.018140316,-3.918665409
48,0.079380959,-3.100607634,-1.939816833,-3.082144737,-4.309580326
49,-2.224267483,-4.142674923,-3.39342761,-3.966827393,-4.633061886
50,-3.156973839,-4.633953571,-3.594017982,-4.448260784,-4.89949894
51,-3.399139881,-4.567073345,-3.977679729,-4.538076401,-4.919644356
52,-3.04685235,-4.421345711,-4.059462547,-4.291252136,-5.021187782
53,-2.836825848,-4.249978542,-3.910112858,-3.932782888,-4.939653397
54,-1.701812267,-3.401067972,-3.333524704,-3.761014938,-4.700741291
55,-0.086947985,-2.802809477,-2.01681304,-2.6067307,-4.913071156
56,-0.729623199,-3.402176619,-2.307261467,-1.851047993,-4.431182384
57,-1.056264997,-3.388239861,-2.077570438,-1.388147116,-4.496646881
58,-1.038149714,-3.666010857,-2.699997663,-0.472406834,-4.640679836
