,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4
0,111002,111014,111003,111011,111001
1,111005,111110,111004,111020,111007
2,111016,111144,111006,111022,111009
3,111024,111158,111008,111023,111012
4,111025,111169,111010,111040,111013
5,111026,111170,111015,111048,111019
6,111027,111173,111017,111060,111029
7,111031,111185,111018,111067,111033
8,111032,111191,111021,111073,111042
9,111034,111202,111028,111081,111043
10,111035,111223,111030,111083,111047
11,111037,111224,111036,111105,111050
12,111038,111231,111041,111111,111051
13,111039,111373,111055,111123,111052
14,111044,111416,111062,111130,111053
15,111045,111417,111063,111138,111054
16,111046,111430,111064,111149,111056
17,111049,111431,111065,111156,111057
18,111061,111555,111077,111175,111058
19,111066,111569,111084,111183,111059
20,111068,111585,111088,111189,111070
21,111069,111589,111090,111190,111082
22,111071,111631,111092,111194,111089
23,111072,111635,111093,111196,111098
24,111074,111667,111095,111197,111107
25,111075,111738,111096,111198,111109
26,111076,111750,111097,111201,111113
27,111078,111774,111099,111203,111114
28,111079,111832,111100,111204,111128
29,111080,111835,111101,111206,111132
30,111085,111873,111102,111207,111136
31,111086,111885,111103,111213,111139
32,111087,111887,111106,111218,111140
33,111091,111892,111115,111220,111145
34,111094,111895,111119,111279,111146
35,111104,111896,111120,111396,111154
36,111112,112009,111122,111404,111180
37,111117,112030,111125,111412,111181
38,111118,112031,111131,111426,111187
39,111121,112038,111134,111428,111188
40,111124,112044,111135,111436,111192
41,111127,112054,111155,111438,111205
42,111129,112055,111162,111439,111215
43,111133,112065,111165,111440,111221
44,111137,112067,111172,111550,111228
45,111141,112070,111186,111560,111268
46,111142,112100,111193,111561,111272
47,111143,112114,111211,111567,111273
48,111147,112121,111212,111587,111277
49,111148,112153,111216,111610,111278
50,111150,112154,111217,111661,111285
51,111151,112162,111219,111670,111388
52,111152,112171,111225,111679,111393
53,111153,112175,111226,111680,111395
54,111157,112176,111229,111689,111401
55,111159,112181,111230,111696,111402
56,111160,112190,111244,111699,111403
57,111161,112192,111245,111702,111405
58,111163,112197,111262,111710,111408
59,111164,112198,111265,111732,111411
60,111166,112203,111267,111744,111414
61,111167,112207,111270,111749,111415
62,111168,112210,111271,111751,111420
63,111171,112211,111300,111767,111421
64,111174,112212,111301,111773,111422
65,111176,112217,111302,111823,111424
66,111177,112218,111305,111839,111432
67,111178,112219,111330,111853,111434
68,111179,112221,111387,111855,111557
69,111182,112223,111389,111858,111565
70,111184,112227,111390,111866,111598
71,111195,112231,111392,111867,111603
72,111199,112232,111394,111874,111618
73,111200,112238,111397,111875,111623
74,111210,112240,111398,111876,111626
75,111214,112247,111399,111881,111628
76,111222,112253,111400,112063,111632
77,111227,112254,111407,112066,111634
78,111242,112255,111413,112072,111637
79,111243,112256,111435,112094,111643
80,111246,112264,111437,112096,111645
81,111258,112265,111546,112097,111646
82,111269,112266,111549,112099,111652
83,111274,115001,111551,112103,111653
84,111275,117130,111574,112116,111655
85,111276,0,111576,112118,111686
86,111406,0,111577,112129,111687
87,111409,0,111578,112137,111721
88,111410,0,111579,112151,111733
89,111418,0,111582,112152,111759
90,111419,0,111583,112157,111845
91,111423,0,111604,112158,111856
92,111425,0,111609,112161,111862
93,111427,0,111617,112174,111886
94,111429,0,111627,112178,112033
95,111433,0,111633,112179,112048
96,111547,0,111638,112180,112071
97,111553,0,111639,112189,112080
98,111558,0,111650,112205,112082
99,111559,0,111651,112206,112085
100,111562,0,111656,112214,112086
101,111563,0,111657,112215,112089
102,111564,0,111673,112216,112091
103,111570,0,111674,112226,112093
104,111571,0,111681,112228,112095
105,111580,0,111690,112233,112102
106,111584,0,111719,112239,112105
107,111586,0,111720,112242,112106
108,111590,0,111726,112243,112108
109,111593,0,111735,112249,112119
110,111599,0,111736,112251,112138
111,111600,0,111745,112259,112139
112,111613,0,111758,117109,112168
113,111624,0,111806,117116,112201
114,111629,0,111809,117118,112202
115,111642,0,111819,113003,112220
116,111644,0,111821,0,112245
117,111647,0,111833,0,112248
118,111648,0,111836,0,112263
119,111649,0,111842,0,117102
120,111654,0,111843,0,0
121,111658,0,111848,0,0
122,111662,0,111859,0,0
123,111663,0,111861,0,0
124,111664,0,111883,0,0
125,111666,0,111884,0,0
126,111668,0,112037,0,0
127,111669,0,112059,0,0
128,111676,0,112062,0,0
129,111678,0,112069,0,0
130,111682,0,112073,0,0
131,111683,0,112074,0,0
132,111684,0,112077,0,0
133,111685,0,112081,0,0
134,111697,0,112087,0,0
135,111698,0,112112,0,0
136,111700,0,112113,0,0
137,111701,0,112117,0,0
138,111708,0,112127,0,0
139,111709,0,112130,0,0
140,111722,0,112131,0,0
141,111729,0,112132,0,0
142,111742,0,112134,0,0
143,111743,0,112135,0,0
144,111746,0,112141,0,0
145,111747,0,112142,0,0
146,111752,0,112143,0,0
147,111762,0,112145,0,0
148,111763,0,112146,0,0
149,111765,0,112147,0,0
