,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4
0,-2.676553249,-4.149367809,-0.398404121,-3.349500895,-3.174118996
1,-3.657780647,-4.804232121,-2.354887247,-4.459107399,-3.866612434
2,-4.072523117,-4.909362316,-3.460701704,-4.82613945,-4.099299908
3,-4.335659504,-4.785965443,-3.359730244,-4.556257725,-4.195660591
4,-4.357345104,-4.908620834,-3.294211388,-4.660211563,-5.060186863
5,-4.295419216,-4.886475086,-3.069448709,-4.596448421,-4.577680111
6,-3.629702091,-4.399495125,-2.132768154,-3.788493156,-4.2264781
7,-2.459780693,-4.307288647,-0.854854882,-3.094874382,-2.131168365
8,-3.178458691,-4.359612942,-0.957870364,-2.778777599,-1.122734308
9,-2.390740871,-3.747779369,-0.740270793,-3.120038509,-0.516301155
10,-2.829956293,-3.847104311,-0.867661774,-2.65498805,0.403386027
11,-1.86141324,-3.893000603,-0.674295008,-2.289900303,0.701916039
12,-1.738776684,-3.664100885,-0.712936521,-2.247065783,0.744974911
13,-2.181596518,-3.948348045,-0.509083867,-2.664746523,1.202757239
14,-2.351040602,-4.154052734,-0.994984984,-2.693603992,0.349063277
15,-1.583935738,-3.49686718,-0.816837251,-1.799380064,0.843639076
16,-1.607457042,-3.32486248,-0.152271122,-2.23388958,0.505325854
17,-1.951709628,-3.726524353,-0.132910565,-1.79359901,0.583498597
18,-1.270805955,-3.984502316,0.582603812,-2.017230034,0.110975236
19,-0.326035023,-3.688312054,0.268099964,-1.664329648,-0.179103345
20,0.291906834,-3.747226954,0.488681078,-1.189024329,0.181605384
21,0.991657138,-2.895647764,0.816705704,-0.772693038,0.813938379
22,1.2299366,-3.092043877,1.582987309,-0.201646775,0.517278194
23,-1.300723433,-3.488744259,1.414899707,-1.271278381,-1.379508138
24,-2.713803768,-3.714314222,0.120763868,-2.675887346,-2.766545773
25,-3.218677044,-4.445520878,-1.668470502,-3.846994638,-3.985552073
26,-3.788390636,-4.606976986,-2.643507242,-4.165349483,-4.669919968
27,-4.19574213,-5.08313179,-3.147130728,-4.594127178,-4.87352562
28,-4.234977722,-5.134724617,-3.344260216,-4.289000511,-4.645758629
29,-4.124072552,-4.910750389,-3.020488977,-4.400146961,-4.613022804
30,-3.108138561,-4.413019657,-1.228795409,-3.771378517,-3.631511211
31,-2.319705725,-3.866217852,-0.228755206,-2.72262454,-1.6723001
32,-2.672734022,-3.989477158,0.281969994,-3.049539566,-0.9625085
33,-2.86427927,-4.362154484,-0.137413397,-3.151838064,-0.744970858
34,-2.295019627,-3.831089497,-0.274509162,-3.395237446,-0.882250071
35,-2.169570446,-3.827466488,-0.116633795,-2.936575651,0.312523186
36,-2.147433519,-3.987358332,-0.357242346,-2.751627922,0.150267422
37,-2.151451349,-3.386700153,-0.107006945,-2.481488943,0.124601863
38,-2.586019516,-3.594501972,-0.445973516,-2.894777775,-0.201520801
39,-2.771204948,-3.516851425,-0.33877182,-3.070872068,0.147830769
40,-1.894769192,-3.980605364,-0.307732195,-3.346883535,0.427778572
41,-1.854490042,-2.946178436,-0.125080585,-2.418928623,0.034886509
42,-1.458410501,-3.377397776,0.262943685,-1.930529356,-0.155397296
43,-1.533274293,-3.492381811,-0.359843254,-2.387828588,-0.479187965
44,0.144098192,-3.513328552,0.105203576,-1.015107751,-0.195374891
45,0.626468182,-3.25482893,0.37253657,-0.500363708,0.671272039
46,0.631595731,-3.501500368,1.377740622,-1.009301782,0.267833978
47,0.098912172,-3.382526398,1.562676668,-2.302509308,-1.273431897
48,-2.436779499,-4.053669453,0.414482683,-3.302304745,-2.892938852
49,-3.837310314,-4.157367229,-2.095216036,-3.881857634,-3.860674858
50,-4.372308731,-4.595710754,-2.922046661,-4.933602333,-4.277552605
51,-4.587105274,-4.853063107,-3.16454339,-5.057048321,-4.321358204
52,-4.511236668,-5.075312138,-3.397833109,-4.738758087,-4.343789577
53,-4.384156704,-4.809358597,-2.706393719,-4.613752842,-3.926578045
54,-3.333698988,-4.506206512,-2.105634451,-3.917420864,-3.874288559
55,-2.359480143,-4.14851284,-0.649966419,-2.963157415,-1.620354891
56,-2.090769291,-3.931520462,-0.873995245,-3.083402157,-0.244689867
57,-2.342288017,-4.006649971,-1.595776081,-3.203538418,0.16910097
58,-1.723521948,-3.771960497,-1.181572795,-3.273391962,0.503460407
59,-1.765560389,-3.969524384,-0.486419737,-2.906014681,0.46483165
60,-1.991676092,-4.238745689,-0.646315932,-2.912319183,0.260426968
61,-1.918920636,-3.786957741,-1.225812674,-2.884483576,0.093959659
62,-1.689268112,-3.913556576,-0.578757048,-2.706728458,0.221166685
